jahr;bfs_nr_gemeinde;gemeindename;kultur_code;kultur_bezeichnung;landw_nutzflaeche_in_aren;anzahl_baeume
2024;4441;Salmsach;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);613.5;
2023;4616;Uesslingen-Buch;0506;Mischel Futtergetreide;512.36;
2024;4441;Salmsach;0712;Christbäume;357.77;
2023;4616;Uesslingen-Buch;0508;Körnermais;4745.61;
2024;4441;Salmsach;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);8.06;
2023;4616;Uesslingen-Buch;0510;Hartweizen;5.48;
2024;4441;Salmsach;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);6.4;
2023;4616;Uesslingen-Buch;0514;Roggen;7.24;
2024;4441;Salmsach;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);3.29;
2023;4616;Uesslingen-Buch;0516;Dinkel;838.85;
2024;4441;Salmsach;0903;Flächen ohne landwirtschaftliche Hauptzweckbestimmung;;
2023;4616;Uesslingen-Buch;0521;Silo- und Grünmais;9940.75;
2024;4441;Salmsach;0907;Unbefestigte, natürliche Wege;;
2023;4616;Uesslingen-Buch;0528;Soja;329.91;
2024;4441;Salmsach;0921;Hochstammfeldobstbäume;;1300
2023;4616;Uesslingen-Buch;0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);1.05;
2024;4441;Salmsach;0923;Edelkastanienbäume;;2
2023;4616;Uesslingen-Buch;0556;Buntbrache;320.3;
2024;4441;Salmsach;0924;Einheimische standortgerechte Einzelbäume und Alleen;;17
2023;4616;Uesslingen-Buch;0612;Wenig intensiv gen. Wiesen (ohne Weiden);132.46;
2024;4441;Salmsach;0926;andere Bäume;;18
2023;4616;Uesslingen-Buch;0617;Extensiv genutzte Weiden;4008.69;
2024;4446;Sommeri;0507;Futterweizen gemäss Sortenlist swiss granum;143.18;
2023;4616;Uesslingen-Buch;0635;Uferwiese (ohne Weiden);1254.33;
2024;4446;Sommeri;0527;Winterraps zur Speiseölgewinnung;676.16;
2023;4616;Uesslingen-Buch;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;54.16;
2024;4446;Sommeri;0528;Soja;183.46;
2023;4616;Uesslingen-Buch;0710;Spargel;25.27;
2024;4446;Sommeri;0572;Nützlingsstreifen einjährig;22.8;
2023;4616;Uesslingen-Buch;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);63.43;
2024;4446;Sommeri;0601;Kunstwiesen (ohne Weiden);4225.01;
2023;4621;Warth-Weiningen;0507;Futterweizen gemäss Sortenlist swiss granum;111.87;
2024;4446;Sommeri;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);45.89;
2023;4621;Warth-Weiningen;0524;Kartoffeln;787.4;
2024;4446;Sommeri;0702;Obstanlagen (Äpfel);824.79;
2023;4621;Warth-Weiningen;0531;Sonnenblumen zur Speiseölgewinnung;706.95;
2024;4446;Sommeri;0703;Obstanlagen (Birnen);67.11;
2023;4621;Warth-Weiningen;0545;Einjährige Freilandgemüse, ohne Konservengemüse;409.22;
2024;4446;Sommeri;0712;Christbäume;137.6;
2023;4621;Warth-Weiningen;0572;Nützlingsstreifen einjährig;24.3;
2024;4446;Sommeri;0814;"Beerenkulturen in geschütztem Anbau ohne festes Fundament; auf Pflanztischen oder -gestellen";9.76;
2023;4621;Warth-Weiningen;0601;Kunstwiesen (ohne Weiden);7182.28;
2024;4446;Sommeri;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;6.46;
2023;4621;Warth-Weiningen;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;38.75;
2024;4451;Uttwil;0601;Kunstwiesen (ohne Weiden);2928.46;
2023;4621;Warth-Weiningen;0702;Obstanlagen (Äpfel);1037.89;
2024;4451;Uttwil;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);113.37;
2023;4621;Warth-Weiningen;0704;Obstanlagen (Steinobst);47.58;
2024;4451;Uttwil;0701;Reben;0.67;
2023;4621;Warth-Weiningen;0705;Mehrjährige Beeren;4.84;
2024;4451;Uttwil;0903;Flächen ohne landwirtschaftliche Hauptzweckbestimmung;;
2023;4621;Warth-Weiningen;0709;Rhabarber;0.56;
2024;4461;Amriswil;0515;Mischel Brotgetreide;124.98;
2023;4621;Warth-Weiningen;0712;Christbäume;25.2;
2024;4461;Amriswil;0523;Futterrüben;224.42;
2023;4621;Warth-Weiningen;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);2.65;
2024;4461;Amriswil;0524;Kartoffeln;441.9;
2023;4621;Warth-Weiningen;0851;Streueflächen innerhalb der LN;94.94;
2024;4461;Amriswil;0527;Winterraps zur Speiseölgewinnung;2022.35;
2023;4621;Warth-Weiningen;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);284.63;
2024;4461;Amriswil;0528;Soja;391.61;
2023;4621;Warth-Weiningen;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);101.57;
2024;4461;Amriswil;0534;Lein;98.23;
2023;4621;Warth-Weiningen;0921;Hochstammfeldobstbäume;;757
2024;4461;Amriswil;0543;Getreide siliert;255.91;
2023;4621;Warth-Weiningen;0922;Nussbäume;;25
2024;4461;Amriswil;0545;Einjährige Freilandgemüse, ohne Konservengemüse;1168.21;
2023;4621;Warth-Weiningen;10572;Nützlingsstreifen mehrjährig;13.81;
2024;4461;Amriswil;0548;Buchweizen;70.48;
2023;4641;Altnau;0521;Silo- und Grünmais;3886.97;
2024;4461;Amriswil;0556;Buntbrache;296.27;
2023;4641;Altnau;0527;Winterraps zur Speiseölgewinnung;720.4;
2024;4461;Amriswil;0566;Mohn;83.83;
2023;4641;Altnau;0528;Soja;245.38;
2024;4461;Amriswil;0592;Sonnenblumen als nachwachsender Rohstoff;23.1;
2023;4641;Altnau;0531;Sonnenblumen zur Speiseölgewinnung;100.4;
2024;4461;Amriswil;0598;Übrige offene Ackerfläche, nicht beitragsberechtigt;87.02;
2023;4641;Altnau;0534;Lein;59.35;
2024;4461;Amriswil;0601;Kunstwiesen (ohne Weiden);16113.68;
2023;4641;Altnau;0539;Oelkürbisse;5.97;
2024;4461;Amriswil;0602;Übrige Kunstwiese, beitragsberechtigt (z.B. Schweineweide, Geflügelweide);91.22;
2023;4641;Altnau;0556;Buntbrache;106.3;
2024;4461;Amriswil;0612;Wenig intensiv gen. Wiesen (ohne Weiden);251.27;
2023;4641;Altnau;0612;Wenig intensiv gen. Wiesen (ohne Weiden);184.03;
2024;4461;Amriswil;0617;Extensiv genutzte Weiden;1173.37;
2023;4641;Altnau;0702;Obstanlagen (Äpfel);9695.92;
2024;4461;Amriswil;0635;Uferwiese (ohne Weiden);38.13;
2023;4641;Altnau;0703;Obstanlagen (Birnen);2565.08;
2024;4461;Amriswil;0697;Übrige Grünfläche (Dauergrünfläche), beitragsberechtigt;1.76;
2023;4641;Altnau;0714;Ziersträucher, Ziergehölze,  und Zierstauden;0.4;
2024;4461;Amriswil;0702;Obstanlagen (Äpfel);3130.42;
2023;4641;Altnau;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);22.4;
2024;4461;Amriswil;0705;Mehrjährige Beeren;539.18;
2023;4641;Altnau;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);7.76;
2024;4461;Amriswil;0721;Mehrjährige gärtnerische Freilandkulturen (nicht im Gewächshaus);41.11;
2023;4641;Altnau;0924;Einheimische standortgerechte Einzelbäume und Alleen;;90
2024;4461;Amriswil;0731;Andere Obstanlagen (Kiwi, Holunder, usw.);147.5;
2023;4641;Altnau;0925;Markante Einzelbäume;;1
2024;4461;Amriswil;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);594.33;
2023;4643;Bottighofen;0527;Winterraps zur Speiseölgewinnung;481.15;
2024;4461;Amriswil;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);93.96;
2023;4643;Bottighofen;0545;Einjährige Freilandgemüse, ohne Konservengemüse;470.4;
2024;4461;Amriswil;0925;Markante Einzelbäume;;7
2023;4643;Bottighofen;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);319.81;
2024;4461;Amriswil;10572;Nützlingsstreifen mehrjährig;15.79;
2023;4643;Bottighofen;0698;Übrige Grünfläche (Dauergrünfläche), nicht beitragsberechtigt;31.57;
2024;4471;Bischofszell;0504;Hafer;354.89;
2023;4643;Bottighofen;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);17.95;
2024;4471;Bischofszell;0507;Futterweizen gemäss Sortenlist swiss granum;440.84;
2023;4643;Bottighofen;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;22.46;
2024;4471;Bischofszell;0516;Dinkel;791.57;
2023;4643;Bottighofen;0921;Hochstammfeldobstbäume;;129
2024;4471;Bischofszell;0556;Buntbrache;72.1;
2023;4646;Ermatingen;0502;Wintergerste;2090.75;
2024;4471;Bischofszell;0601;Kunstwiesen (ohne Weiden);7082.38;
2023;4646;Ermatingen;0508;Körnermais;1818.12;
2024;4471;Bischofszell;0712;Christbäume;15.65;
2023;4646;Ermatingen;0522;Zuckerrüben;1044.92;
2024;4471;Bischofszell;0904;Wassergräben, Tümpel, Teiche;;
2023;4646;Ermatingen;0524;Kartoffeln;599.04;
2024;4471;Bischofszell;0925;Markante Einzelbäume;;1
2023;4646;Ermatingen;0543;Getreide siliert;87.89;
2024;4471;Bischofszell;0926;andere Bäume;;10
2023;4646;Ermatingen;0545;Einjährige Freilandgemüse, ohne Konservengemüse;392.45;
2024;4476;Erlen;0501;Sommergerste;13.91;
2023;4646;Ermatingen;0559;Saum auf Ackerfläche;15.05;
2024;4476;Erlen;0507;Futterweizen gemäss Sortenlist swiss granum;395.43;
2023;4646;Ermatingen;0613;Übrige Dauerwiesen (ohne Weiden);8073.54;
2024;4476;Erlen;0521;Silo- und Grünmais;6024.64;
2023;4646;Ermatingen;0616;Weiden (Heimweiden, übrige Weiden ohne Sömmerungsweiden);2263.91;
2024;4476;Erlen;0522;Zuckerrüben;175.16;
2023;4646;Ermatingen;0701;Reben;818.44;
2024;4476;Erlen;0524;Kartoffeln;81.17;
2023;4646;Ermatingen;0703;Obstanlagen (Birnen);80.0;
2024;4476;Erlen;0539;Oelkürbisse;40.9;
2023;4646;Ermatingen;0704;Obstanlagen (Steinobst);256.75;
2024;4476;Erlen;0556;Buntbrache;162.74;
2023;4646;Ermatingen;0814;"Beerenkulturen in geschütztem Anbau ohne festes Fundament; auf Pflanztischen oder -gestellen";4.02;
2024;4476;Erlen;0559;Saum auf Ackerfläche;18.35;
2023;4646;Ermatingen;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;127.74;
2024;4476;Erlen;0613;Übrige Dauerwiesen (ohne Weiden);33559.62;
2023;4651;Gottlieben;0611;Extensiv genutzte Wiesen (ohne Weiden);40.03;
2024;4476;Erlen;0702;Obstanlagen (Äpfel);7455.15;
2023;4651;Gottlieben;0851;Streueflächen innerhalb der LN;870.04;
2024;4476;Erlen;0712;Christbäume;11.72;
2023;4656;Güttingen;0502;Wintergerste;1529.01;
2024;4476;Erlen;0714;Ziersträucher, Ziergehölze,  und Zierstauden;11.63;
2023;4656;Güttingen;0510;Hartweizen;52.08;
2024;4476;Erlen;0803;Gärtnerische Kulturen in Gewächshäusern mit festem Fundament;23.16;
2023;4656;Güttingen;0521;Silo- und Grünmais;6794.18;
2024;4476;Erlen;0851;Streueflächen innerhalb der LN;4.36;
2023;4656;Güttingen;0523;Futterrüben;546.63;
2024;4476;Erlen;0852;Hecken-, Feld- und Ufergehölze (mit Krautsaum);228.86;
2023;4656;Güttingen;0524;Kartoffeln;128.23;
2024;4476;Erlen;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);24.95;
2023;4656;Güttingen;0598;Übrige offene Ackerfläche, nicht beitragsberechtigt;38.25;
2024;4476;Erlen;0923;Edelkastanienbäume;;103
2023;4656;Güttingen;0613;Übrige Dauerwiesen (ohne Weiden);15852.59;
2024;4476;Erlen;0924;Einheimische standortgerechte Einzelbäume und Alleen;;144
2023;4656;Güttingen;0704;Obstanlagen (Steinobst);1221.31;
2024;4476;Erlen;0926;andere Bäume;;235
2023;4656;Güttingen;0705;Mehrjährige Beeren;1394.97;
2024;4486;Hauptwil-Gottshaus;0504;Hafer;100.8;
2023;4656;Güttingen;0857;Hecken-, Feld- und Ufergehölze (mit Pufferstreifen);1.88;
2024;4486;Hauptwil-Gottshaus;0512;Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);114.13;
2023;4656;Güttingen;0898;übrige Flächen innerhalb der LN, nicht beitragsberechtigt;357.36;
2024;4486;Hauptwil-Gottshaus;0524;Kartoffeln;431.73;
2023;4656;Güttingen;0921;Hochstammfeldobstbäume;;3179
2024;4486;Hauptwil-Gottshaus;0536;Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen);175.1;
2023;4656;Güttingen;0922;Nussbäume;;564
2024;4486;Hauptwil-Gottshaus;0554;Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen, usw.);12.43;
2023;4666;Kemmental;0501;Sommergerste;142.49;
2024;4486;Hauptwil-Gottshaus;0598;Übrige offene Ackerfläche, nicht beitragsberechtigt;1.14;
2023;4666;Kemmental;0504;Hafer;404.89;
2024;4486;Hauptwil-Gottshaus;0611;Extensiv genutzte Wiesen (ohne Weiden);4813.45;
2023;4666;Kemmental;0505;Triticale;786.93;
2024;4486;Hauptwil-Gottshaus;0612;Wenig intensiv gen. Wiesen (ohne Weiden);183.26;
2023;4666;Kemmental;0507;Futterweizen gemäss Sortenlist swiss granum;1423.21;
2024;4486;Hauptwil-Gottshaus;0702;Obstanlagen (Äpfel);1232.25;
2023;4666;Kemmental;0512;Sommerweizen (ohne Futterweizen der Sortenliste swiss granum);976.15;
2024;4486;Hauptwil-Gottshaus;0704;Obstanlagen (Steinobst);23.4;
2023;4666;Kemmental;0514;Roggen;429.13;
